Section,Item,Description,Type,Codelist,XML,Occur,Rules
,ref,Machine-readable identification string for the organisation issuing the report. Must be in the format {RegistrationAgency}-{RegistrationNumber} where {RegistrationAgency} is a valid code in the Organisation Registration Agency code list and {RegistrationNumber} is a valid identifier issued by the {RegistrationAgency}. If this is not present then the narrative MUST contain the name of the organisation.,xsd:string,,iati-activities/iati-activity/participating-org/@ref,0..1,"1.8.1: The participating-org identifier should not start or end with spaces or newlines.
1.8.13: The receiver-org identifier must not contain any of the symbols /, &, | or ?.
6.10.1: The participating organisation must have an identifier or a narrative."
,type,The type of organisation issuing the report. See IATI codelist for values.,xsd:string,Organisation Type,iati-activities/iati-activity/participating-org/@type,0..1,
,role,"An IATI code describing the organisation’s role in the activity (donor, agency, etc.).",xsd:string,Organisation Role,iati-activities/iati-activity/participating-org/@role,1..1,
,activity-id,A valid activity identifier published by the participating organisation which points to the activity that it has published to IATI that describes its role in this activity.,xsd:string,,iati-activities/iati-activity/participating-org/@activity-id,0..1,1.9.1: The participating-org activity identifier should not start or end with spaces or newlines.
,crs-channel-code,Under CRS++ Reporting Directives this code identifies the implementing agency. Codes ending in ‘00’ are generic and are similar to the OrganisationType code.,xsd:string,CRS Channel Code,iati-activities/iati-activity/participating-org/@crs-channel-code,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/participating-org/narrative,0..*,6.10.1: The participating organisation must have an identifier or a narrative.
,,,xsd:string,,iati-activities/iati-activity/participating-org/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/participating-org/narrative/@xml:lang,0..1,
other-identifier,,"An other identifier for the activity. This may be a publishers own identifier that it wishes to record with the activity. This element is also used to trace changes to activity identifiers, for example when and organisation has changed it’s organisation identifier.",,,iati-activities/iati-activity/other-identifier,0..*,
,ref,The identifier you wish to report. This can be used to report a number of different types of identifiers. See the OtherIdentifierType codelist for details and options.,xsd:string,,iati-activities/iati-activity/other-identifier/@ref,1..1,"1.6.1: The previous activity identifier should not start or end with spaces or newlines.
1.16.1: The previous reporting organisation identifier should not start or end with spaces or newlines."
,type,"The type of identifier being reported, taken from the OtherIdentifierType codelist.",xsd:string,Other Identifier Type,iati-activities/iati-activity/other-identifier/@type,1..1,
,owner-org,"Where applicable, the organisation that owns the other identifier being reported. When used, then either other-identifier/owner-org/@ref or other-identifier/owner-org/narrative/text() MUST be present.",,,iati-activities/iati-activity/other-identifier/owner-org,0..1,
,ref,An organisation identifier. This is NOT MANDATORY but when used MUST contain a valid organisation identifier.,xsd:string,,iati-activities/iati-activity/other-identifier/owner-org/@ref,0..1,"1.11.1: The owner organisation identifier should not start or end with spaces or newlines.
1.11.13: The owner organisation identifier must not contain any of the symbols /, &, | or ?.
6.8.1: The owner organisation must have an identifier or a narrative."
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/other-identifier/owner-org/narrative,0..*,6.8.1: The owner organisation must have an identifier or a narrative.
,,,xsd:string,,iati-activities/iati-activity/other-identifier/owner-org/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/other-identifier/owner-org/narrative/@xml:lang,0..1,
activity-status,,The current status of the activity. See codelist for values.,,,iati-activities/iati-activity/activity-status,1..1,
,code,An IATI code defining the current status of the activity.,xsd:string,Activity Status,iati-activities/iati-activity/activity-status/@code,1..1,
activity-date,,"The planned and actual start and completion dates of the activity. Start dates may reflect either the commencement of funding, planning or physical activity. End dates should, wherever possible, reflect the ending of physical activity. The narrative content may contain text (e.g. 2011Q1) for accurately recording less specific dates such as month, quarter, or year.",,,iati-activities/iati-activity/activity-date,1..*,6.11.1: The activity must have a planned start date or an actual start date.
,type,An IATI code defining the type of activity date being reported.,xsd:string,Activity Date Type,iati-activities/iati-activity/activity-date/@type,1..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/activity-date/@iso-date,1..1,"11.1.2: The planned start date of the activity must be before the planned end date.
11.1.3: The actual start date of the activity must be before the actual end date.
11.1.4: The actual start date of the activity must not be in the future.
11.1.5: The actual end date of the activity must not be in the future."
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/activity-date/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/activity-date/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/activity-date/narrative/@xml:lang,0..1,
contact-info,,Contact information for the activity. Specify whatever is available. You may repeat this element for each contact person.,,,iati-activities/iati-activity/contact-info,0..*,
,type,The type of contact. See IATI codelist for values.,xsd:string,Contact Type,iati-activities/iati-activity/contact-info/@type,0..1,
,organisation,The name of the organisation to contact for more information about the activity.,,,iati-activities/iati-activity/contact-info/organisation,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/contact-info/organisation/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/contact-info/organisation/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/contact-info/organisation/narrative/@xml:lang,0..1,
,department,The department within the organisation to contact for more information about the activity.,,,iati-activities/iati-activity/contact-info/department,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/contact-info/department/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/contact-info/department/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/contact-info/department/narrative/@xml:lang,0..1,
,person-name,The name of the contact person for the activity.,,,iati-activities/iati-activity/contact-info/person-name,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/contact-info/person-name/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/contact-info/person-name/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/contact-info/person-name/narrative/@xml:lang,0..1,
,job-title,The job title of the contact person at the organisation.,,,iati-activities/iati-activity/contact-info/job-title,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/contact-info/job-title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/contact-info/job-title/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/contact-info/job-title/narrative/@xml:lang,0..1,
,telephone,The contact telephone number. May be repeated for multiple numbers.,,,iati-activities/iati-activity/contact-info/telephone,0..*,
,,,xsd:string,,iati-activities/iati-activity/contact-info/telephone/text(),,
,email,The contact email address. May be repeated for multiple addresses.,,,iati-activities/iati-activity/contact-info/email,0..*,
,,,xsd:string,,iati-activities/iati-activity/contact-info/email/text(),,
,website,The contact web address. May be repeated for multiple sites.,,,iati-activities/iati-activity/contact-info/website,0..*,
,,,xsd:anyURI,,iati-activities/iati-activity/contact-info/website/text(),,
,mailing-address,The contact mailing address.,,,iati-activities/iati-activity/contact-info/mailing-address,0..*,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/contact-info/mailing-address/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/contact-info/mailing-address/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/contact-info/mailing-address/narrative/@xml:lang,0..1,
activity-scope,,"The geographical scope of the activity: regional, national, sub-national, etc.",,,iati-activities/iati-activity/activity-scope,0..1,
,code,The geographical scope. See IATI codelist for values.,xsd:string,Activity Scope,iati-activities/iati-activity/activity-scope/@code,1..1,
recipient-country,,"A country that will benefit from this activity. If a specific country is not known the recipient-region element should be used instead. For geographical location, use the location element. Multiple countries and regions can be reported, in which case the percentage attribute MUST be used to specify the share of total commitments across all reported countries and regions. The country can also be specified at transaction rather than activity level. If recipient-country OR recipient-region are reported at the transaction level, ALL transactions MUST contain a recipient-country or recipient-region element and iati-activity/recipient-country and iati-activity/recipient-region MUST NOT be used.",,,iati-activities/iati-activity/recipient-country,0..*,"3.1.1: When multiple recipient countries are declared, each must have a percentage.
3.1.4: When a single recipient country is declared, the percentage must either be omitted, or set to 100.
3.4.4: When a single recipient region in a vocabulary is declared, the percentage must either be omitted, or set to 100.
3.6.2: Recipient countries or regions must only be declared at activity level OR for all transactions.
3.7.1: Recipient country or recipient region should be declared for either the activity or for all transactions.
3.7.2: Recipient country or recipient region should be declared for either the activity or for all transactions."
,code,ISO 3166-1 alpha-2 code for the country.,xsd:string,Country,iati-activities/iati-activity/recipient-country/@code,1..1,
,percentage,"The percentage of total commitments or total activity budget to this item. Content must be a decimal number between 0 and 100 inclusive, with no percentage sign. Percentages for all reported countries and regions within a vocabulary MUST add up to 100.",xsd:decimal,,iati-activities/iati-activity/recipient-country/@percentage,0..1,"3.1.2: Percentage values for recipient countries, must add up to 100%.
3.4.2: Percentage values for recipient countries or regions, must add up to 100%.
12.1.1: The country/region percentage value must be between 0.0 and 100.0 (inclusive)."
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/recipient-country/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/recipient-country/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/recipient-country/narrative/@xml:lang,0..1,
recipient-region,,"A supranational geopolitical region that will benefit from this activity. For sub-national geographical location, use the location element. Multiple countries and regions can be reported, in which case the percentage attribute MUST be used to specify the share of total commitments across all reported countries and regions. Recipient-region must not be used merely to describe the region of a country reported in recipient-country, but ONLY if the region is a recipient IN ADDITION to the country. Region can also be reported at transaction rather than activity level. If transaction/recipient-country AND/OR transaction/recipient-region are used THEN ALL transaction elements MUST contain a recipient-country and/or recipient-region element AND iati-activity/recipient-region and iati-activity/recipient-region MUST NOT be used AND each transaction MUST only contain one recipient-country or recipient-region.",,,iati-activities/iati-activity/recipient-region,0..*,"3.1.1: When multiple recipient countries are declared, each must have a percentage.
3.1.4: When a single recipient country is declared, the percentage must either be omitted, or set to 100.
3.4.1: When multiple recipient countries or regions are declared, each must have a percentage.
3.4.4: When a single recipient region in a vocabulary is declared, the percentage must either be omitted, or set to 100.
3.6.2: Recipient countries or regions must only be declared at activity level OR for all transactions.
3.7.1: Recipient country or recipient region should be declared for either the activity or for all transactions.
3.7.2: Recipient country or recipient region should be declared for either the activity or for all transactions."
,code,Either an OECD DAC or UN region code. Codelist is determined by vocabulary attribute.,xsd:string,(Region),iati-activities/iati-activity/recipient-region/@code,1..1,
,vocabulary,An IATI code for the vocabulary from which the region code is drawn. If it is not present 1 - ‘OECD DAC’ is assumed.,xsd:string,Region Vocabulary,iati-activities/iati-activity/recipient-region/@vocabulary,0..1,
,vocabulary-uri,"The URI where this vocabulary is defined. If the vocabulary is 99 (reporting organisation), the URI where this internal vocabulary is defined. While this is an optional field it is STRONGLY RECOMMENDED that all publishers use it to ensure that the meaning of their codes are fully understood by data users.",xsd:anyURI,,iati-activities/iati-activity/recipient-region/@vocabulary-uri,0..1,
,percentage,"The percentage of total commitments or total activity budget to this item. Content must be a decimal number between 0 and 100 inclusive, with no percentage sign. Percentages for all reported countries and regions within a vocabulary MUST add up to 100.",xsd:decimal,,iati-activities/iati-activity/recipient-region/@percentage,0..1,"3.4.2: Percentage values for recipient countries or regions, must add up to 100%.
12.1.1: The country/region percentage value must be between 0.0 and 100.0 (inclusive)."
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/recipient-region/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/recipient-region/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/recipient-region/narrative/@xml:lang,0..1,
location,,"The sub-national geographical identification of the target locations of an activity. These can be described by gazetteer reference, coordinates, administrative areas or a textual description. Any number of locations may be reported.",,,iati-activities/iati-activity/location,0..*,
,ref,An internal reference that describes the location in the reporting organisation’s own system.,xsd:string,,iati-activities/iati-activity/location/@ref,0..1,
,location-reach,Does this location describe where the activity takes place or where the intended beneficiaries reside?,,,iati-activities/iati-activity/location/location-reach,0..1,
,code,An IATI code for the geographic scope of the activity.,xsd:string,Geographic Location Reach,iati-activities/iati-activity/location/location-reach/@code,1..1,
,location-id,A unique code describing the location according to a recognised gazetteer or administrative boundary repository. Administrative areas should only be reported here if the location being defined is the administrative area itself. For describing the administrative area/s within which a more specific location falls the location/administrative element should be used.,,,iati-activities/iati-activity/location/location-id,0..*,
,code,A code from the gazetteer or administrative boundary repository specified by the vocabulary,xsd:string,,iati-activities/iati-activity/location/location-id/@code,1..1,
,vocabulary,An IATI code for a recognised gazetteer or administrative boundary repository.,xsd:string,Geographic Vocabulary,iati-activities/iati-activity/location/location-id/@vocabulary,1..1,
,name,The human-readable name for the location.,,,iati-activities/iati-activity/location/name,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/location/name/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/location/name/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/location/name/narrative/@xml:lang,0..1,
,description,"A description that qualifies the location, not the activity.",,,iati-activities/iati-activity/location/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/location/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/location/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/location/description/narrative/@xml:lang,0..1,
,activity-description,"A description that qualifies the activity taking place at the location. This should not duplicate information provided in the main activity description, and should typically be used to distinguish between activities at multiple locations within a single iati-activity record.",,,iati-activities/iati-activity/location/activity-description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/location/activity-description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/location/activity-description/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/location/activity-description/narrative/@xml:lang,0..1,
,administrative,Coded identification of national and sub-national divisions according to recognised administrative boundary repositories. Multiple levels may be reported.,,,iati-activities/iati-activity/location/administrative,0..*,
,code,The code for the administrative area being reported from the vocabulary specified.,xsd:string,(Country),iati-activities/iati-activity/location/administrative/@code,1..1,
,vocabulary,An IATI code for a recognised administrative boundary repository.,xsd:string,Geographic Vocabulary,iati-activities/iati-activity/location/administrative/@vocabulary,1..1,
,level,A number defining a subdivision within a hierarchical system of administrative areas. The precise system for defining the particular meaning of each @level value is determined by the @vocabulary being used.,xsd:nonNegativeInteger,,iati-activities/iati-activity/location/administrative/@level,0..1,
,point,The point element is based on a subset of the GML 3.3 Point element.,,,iati-activities/iati-activity/location/point,0..1,
,srsName,The name of the spatial reference system used by the coordinates. Always: http://www.opengis.net/def/crs/EPSG/0/4326,xsd:string,,iati-activities/iati-activity/location/point/@srsName,1..1,
,pos,The latitude and longitude coordinates in the format “lat lng”,xsd:string,,iati-activities/iati-activity/location/point/pos,1..1,
,exactness,Defines whether the location represents the most distinct point reasonably possible for this type of activity or is an approximation due to lack of more detailed information.,,,iati-activities/iati-activity/location/exactness,0..1,
,code,A code from the Geographic Exactness Codelist.,xsd:string,Geographic Exactness,iati-activities/iati-activity/location/exactness/@code,1..1,
,location-class,"Whether the location refers to a structure, a populated place (e.g. city or village), an administrative division, or another topological feature (e.g. river, nature reserve).",,,iati-activities/iati-activity/location/location-class,0..1,
,code,A code from the Location Class codelist,xsd:string,Geographic Location Class,iati-activities/iati-activity/location/location-class/@code,1..1,
,feature-designation,A more refined coded classification of the type of feature referred to by this location.,,,iati-activities/iati-activity/location/feature-designation,0..1,
,code,A feature designation code form the authorised list (maintained by the US National Geospatial-Intelligence Agency),xsd:string,Location Type,iati-activities/iati-activity/location/feature-designation/@code,1..1,
sector,,"A recognised code, from a recognised vocabulary, classifying the purpose of the activity. Sector MUST EITHER be reported here OR at transaction level for ALL transactions",,,iati-activities/iati-activity/sector,0..*,"2.1.1: When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.
2.1.4: When a single sector is declared, the percentage must either be omitted, or set to 100.
2.2.1: When using a reporting organisation sector code (vocabulary 98 or 99), it must include a narrative.
6.2.2: Each activity must have a specified sector, either at activity level OR for all transactions.
6.6.2: Sectors must only be declared at activity level OR for all transactions.
6.7.2: If sector is declared at transaction level, a sector must be declared for all transactions.
102.1.1: When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used."
,vocabulary,"An IATI code for the vocabulary (see codelist) used for sector classifications. If omitted, OECD DAC 5-digit Purpose Codes are assumed. It is recommended that OECD DAC 5-digit Purpose Codes are used wherever possible. It is also recommended that if a publisher has its own classification system or systems then the vocabularies 99 or 98 (Reporting Organisation’s own vocabularies) should be used in addition to DAC codes. Publishers using 98 or 99 must also include a narrative in the narrative element. Note that if multiple sector codes are used in multiple vocabularies, then each vocabulary’s percentages should add up to 100. Sector can also be reported at the transaction level rather than the activity level. Sector must only be reported at EITHER transaction level OR activity level.",xsd:string,Sector Vocabulary,iati-activities/iati-activity/sector/@vocabulary,0..1,
,vocabulary-uri,"The URI where this vocabulary is defined. If the vocabulary is 99 or 98 (reporting organisation), the URI where this internal vocabulary is defined. While this is an optional field it is STRONGLY RECOMMENDED that all publishers use it to ensure that the meaning of their codes are fully understood by data users.",xsd:anyURI,,iati-activities/iati-activity/sector/@vocabulary-uri,0..1,
,code,The code for the sector.,xsd:string,(DAC 5 Digit Sector)(DAC 3 Digit Sector)(UN Sustainable Development Goals (SDG))(UN Sustainable Development Goals (SDG) Targets),iati-activities/iati-activity/sector/@code,1..1,
,percentage,"The percentage of total commitments or total activity budget to this item. Content must be a decimal number between 0 and 100 inclusive, with no percentage sign. All reported sectors from the same vocabulary MUST add up to 100.",xsd:decimal,,iati-activities/iati-activity/sector/@percentage,0..1,"2.1.2: Percentage values for sectors, within a vocabulary (e.g. 1 - OECD DAC), must add up to 100%.
12.3.1: The sector percentage value must be between 0.0 and 100.0 (inclusive)."
,narrative,The description of a sector defined by the reporting organisation. (Only to be used when the reporting organisation’s own vocabulary is being used).,,,iati-activities/iati-activity/sector/narrative,0..*,"2.2.1: When using a reporting organisation sector code (vocabulary 98 or 99), it must include a narrative."
,,,xsd:string,,iati-activities/iati-activity/sector/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/sector/narrative/@xml:lang,0..1,
tag,,"Categorisations from established taxonomies that enrich the classification of the activity but that, unlike those reported in the sector element, cannot be associated with percentage splits on finances.",,,iati-activities/iati-activity/tag,0..*,
,code,The code for the tag as defined in the specified vocabulary.,xsd:string,(UN Sustainable Development Goals (SDG))(UN Sustainable Development Goals (SDG) Targets),iati-activities/iati-activity/tag/@code,1..1,
,vocabulary,An IATI code for the vocabulary or taxonomy (see non-embedded codelist) used for tag classifications.,xsd:string,Tag Vocabulary,iati-activities/iati-activity/tag/@vocabulary,1..1,
,vocabulary-uri,The URI where this vocabulary is defined.,xsd:anyURI,,iati-activities/iati-activity/tag/@vocabulary-uri,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/tag/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/tag/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/tag/narrative/@xml:lang,0..1,
country-budget-items,,This item encodes the alignment of activities with both the functional and administrative classifications used in the recipient country’s Chart of Accounts. This applies to both on- and off-budget activities.,,,iati-activities/iati-activity/country-budget-items,0..1,
,vocabulary,"An IATI code for the common functional classification or country system (This allows for common codes, country-specific, or any other classification agreed between countries and donors).",xsd:string,Budget Identifier Vocabulary,iati-activities/iati-activity/country-budget-items/@vocabulary,1..1,
,budget-item,Identifier for a single item in the recipient-country budget. If more than one identifier is reported the percentage share must be reported and all percentages should add up to 100 percent.,,,iati-activities/iati-activity/country-budget-items/budget-item,1..*,
,code,A code for the budget-item from the vocabulary specified.,xsd:string,(Budget Identifier),iati-activities/iati-activity/country-budget-items/budget-item/@code,1..1,
