Publisher,IATI Organisation Identifier,Organization Type,HQ Country or Region,Datasets Count,Datasets Link
Afghanaid,GB-CHC-1045348,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/afghanaid
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,NZ-1,Government,New Zealand,22,https://iatiregistry.org/publisher/mfat
Canada - Global Affairs Canada | Affaires mondiales Canada,CA-3,Government,Canada,3,https://iatiregistry.org/publisher/gac-amc
European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,"Europe, regional",140,https://iatiregistry.org/publisher/ec-fpi
European Commission - Neighbourhood and Enlargement Negotiations,XI-IATI-EC_NEAR,Other Public Sector,(No country assigned),45,https://iatiregistry.org/publisher/ec-near
Spain - Ministry of Foreign Affairs and Cooperation,ES-DIR3-E04585801,Government,Spain,144,https://iatiregistry.org/publisher/maec
HelpAge International,GB-COH-1762840,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/helpage_international
Send a Cow Uganda,SACU,National NGO,Uganda,2,https://iatiregistry.org/publisher/sacu
Ireland - Department of Foreign Affairs,XM-DAC-21-1,Government,Ireland,13,https://iatiregistry.org/publisher/irishaid
UK - Department for Work and Pensions,GB-9,Government,United Kingdom,1,https://iatiregistry.org/publisher/dwp
Network for Africa,GB-CHC-1120932,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/network4africa
Blue Ventures Conservation,GB-CC-1098893,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/blueventures
iPartner India,GB-CHC-1114944,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ip-india
Link Community Development Scotland,GB-SC-SC037959,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/lcds
Digital Campus,GB-COH-07629751,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/dc
Heifer International South Africa,ZA-NPO-013484,National NGO,South Africa,2,https://iatiregistry.org/publisher/hsa
European Commission - Humanitarian Aid & Civil Protection,XI-IATI-EC_ECHO,Other Public Sector,(No country assigned),12,https://iatiregistry.org/publisher/ec-echo
CUAMM Trustees,TN-TIN-102123727,National NGO,"Tanzania, United Republic of",2,https://iatiregistry.org/publisher/cuammtrustees
UK - Department of Health and Social Care (DHSC),GB-GOV-10,Government,United Kingdom,3,https://iatiregistry.org/publisher/dhsc
MICAIA,GB-CHC-1120413,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/mic-uk
Plan International USA,US-IRS-13-5661832,International NGO,United States,18,https://iatiregistry.org/publisher/plan_usa
Afghanistan and Central Asian Association,GB-CHC-1096908,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/acaa
UK - Medical Research Council,GB-COH-RC000346,Government,United Kingdom,1,https://iatiregistry.org/publisher/mrc
I Choose Life Africa,KE-NGC-3372,National NGO,Kenya,2,https://iatiregistry.org/publisher/ke-ngc-3372
International Rescue Committee UK,GB-CHC-1065972,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/irc_uk
HTSPE,GB-COH-06407873,Private Sector,United Kingdom,3,https://iatiregistry.org/publisher/htspe
Hospice Africa Ltd,GB-CHC-1024903,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/hauk
Able Child Africa,GB-CHC-326859,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ablechildafrica
Global Action Nepal,NP-SWC-13712,National NGO,Nepal,1,https://iatiregistry.org/publisher/gan
Adam Smith International,GB-COH-2732176,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/asi
The Foundation Center,US-EIN-131837418,International NGO,United States,2,https://iatiregistry.org/publisher/foundation_center
Integrity Action,GB-COH-4884328,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/integrity_action
Switzerland - Swiss Agency for Development and Cooperation (SDC),CH-4,Government,Switzerland,10,https://iatiregistry.org/publisher/sdc_ch
Bees for Development Trust,GB-CHC-1078803,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/beesfordevelopment
ACTED,FR-SIRET-4028868160030,International NGO,France,5,https://iatiregistry.org/publisher/acted
Netherlands - Ministry of Foreign Affairs,XM-DAC-7,Government,Netherlands,10,https://iatiregistry.org/publisher/minbuza_nl
Emmanuel International UK,GB-CHC-289036,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/eiuk
Feed the Minds,GB-CHC-291333,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ftm-291333
Crown Agents Limited,GB-COH-03259922,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/cal
ARK (Absolute Return for Kids),GB-COH-04589451,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/ark
SOS Children's Villages Kenya,KE-NGCB-149,International NGO,Kenya,1,https://iatiregistry.org/publisher/soscvkenya
MAG,GB-CHC-1083008,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/mag
Target TB,GB-CHC-1098752,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/targettb
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),XM-DAC-41127,Multilateral,Switzerland,51,https://iatiregistry.org/publisher/unocha
DAI Europe,GB-COH-1858644,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/dai-e
Stars Foundation,GB-CHC-1087997,Foundation,United Kingdom,2,https://iatiregistry.org/publisher/starsfoundation
PHASE Nepal,NP-DAO-531/062/063,National NGO,Nepal,1,https://iatiregistry.org/publisher/phase-nepal
France - Ministry for Europe and Foreign Affairs,FR-6,Government,France,59,https://iatiregistry.org/publisher/france
Hilfswerk Austria Zimbabwe,XI-IATI-035026724,International NGO,Zimbabwe,2,https://iatiregistry.org/publisher/hwa-zm
Plan Ireland Charitable Assistance Limited,IE-CHY-15037,International NGO,Ireland,2,https://iatiregistry.org/publisher/plan_ireland
Agence Française de Développement,FR-3,Other Public Sector,France,85,https://iatiregistry.org/publisher/afd
British Council,GB-CHC-209131,Other Public Sector,United Kingdom,48,https://iatiregistry.org/publisher/britishcouncil
Street Child,GB-CHC-1128536,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/street_child
Vision Aid Overseas,GB-CHC-1081695,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/vao
Girls’ Education Challenge – Fund Manager PwC,GB-COH-03580586-GEC,Private Sector,United Kingdom,4,https://iatiregistry.org/publisher/gecfundmanagerpwc
GEMS Education Solutions,GB-COH-07669775,Private Sector,Ghana,2,https://iatiregistry.org/publisher/mgcubed
ChildFund International,US-EIN-54-0536100,International NGO,United States,2,https://iatiregistry.org/publisher/childfund
Backward Society Education (BASE),NP-DAO-DANG-18-046/47,National NGO,Nepal,2,https://iatiregistry.org/publisher/base_22
Theatre for a Change UK,GB-CHC-1104458,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/tfac
International Medical Corps UK,GB-CHC-1093861,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/imc_uk
Social Impact Lab CIC,GB-COH-7557881,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/simlab
Education Development Trust,KE-RCO-270901,International NGO,Kenya,3,https://iatiregistry.org/publisher/edt_kenya
Lepra,GB-CHC-213251,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/lepra
Arab Reporters for Investigative Journalism,JO-CCD-50544,"Academic, Training and Research",Jordan,2,https://iatiregistry.org/publisher/arij
ICS,NL-KVK-41188664,International NGO,Netherlands,1,https://iatiregistry.org/publisher/ics
Bill & Melinda Gates Foundation,DAC-1601,Foundation,United States,11,https://iatiregistry.org/publisher/bmgf
Shtrii Shakti,NP-SWC-00589,National NGO,Nepal,1,https://iatiregistry.org/publisher/shtrii_shakti
Women and Children First (UK),GB-CHC-1085096,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/wcf
Theatre for a Change Malawi,MW-NBM-00139,National NGO,Malawi,2,https://iatiregistry.org/publisher/tfacmalawi
Center for International Legal Cooperation (CILC),NL-KVK-41166983,Foundation,Netherlands,1,https://iatiregistry.org/publisher/cilc
TREE AID,GB-CHC-1135156,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/treea
World University Service of Canada,CA-CRA_ARC-119304848,International NGO,Canada,2,https://iatiregistry.org/publisher/wusc
Exeter Ethiopia Link,GB-CHC-1154085,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/eel
KPMG East Africa,TZ-BRLA-36057,Private Sector,Kenya,2,https://iatiregistry.org/publisher/kpmgea
Viva,GB-CHC-1053389,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/viva
Adaptation Fund,XM-DAC-47111,Multilateral,United States,1,https://iatiregistry.org/publisher/af
Trianglen,DK-CVR-33985339,National NGO,Denmark,2,https://iatiregistry.org/publisher/trianglen
Excellent Development,GB-CHC-1094478,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/excellent
Action Against Hunger UK,GB-CHC-1047501,International NGO,United Kingdom,35,https://iatiregistry.org/publisher/acf
Canada Department of Finance / Ministère des Finances Canada,CA-4,Government,Canada,2,https://iatiregistry.org/publisher/finance_canada
Sabre Education Limited,GB-CHC-1105489,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/sct
Fairtrade Labelling Organizations International e.V.,DE-AG-VR7795,International NGO,Germany,2,https://iatiregistry.org/publisher/fairtrade_international
Both ENDS,NL-KVK-41210098,National NGO,Netherlands,6,https://iatiregistry.org/publisher/bothends
Heifer Nederland,NL-KVK-20093733,National NGO,Netherlands,2,https://iatiregistry.org/publisher/heifernederland
Teach A Man To Fish,GB-CHC-1112699,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/tamtf
Fairfood International,NL-KVK-34141098,National NGO,Netherlands,1,https://iatiregistry.org/publisher/fairfood
Transnational Institute,NL-KVK-41201806,Foundation,Netherlands,2,https://iatiregistry.org/publisher/tni
Amref Health Africa - UK,GB-CHC-261488,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/amrefha
Association CHS Alliance,XI-IATI-CHSA,International NGO,Switzerland,1,https://iatiregistry.org/publisher/chs_alliance
Friends of the Earth International,NL-KVK-40535338,International NGO,Netherlands,2,https://iatiregistry.org/publisher/foei
Rahnuma-Family Planning Assocation of Pakistan,PK-MSW-633-1965,National NGO,Pakistan,2,https://iatiregistry.org/publisher/rfpap
Rojiroti UK,GB-CHC-1147083,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/rojiroti
Lively Minds,GB-CHC-1125512,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/livelyminds
Oxfam Novib,NL-KVK-27108436,International NGO,Netherlands,4,https://iatiregistry.org/publisher/onl
Institute of Development Studies,GB-COH-877338,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/ids
EMMS International,GB-SC-SC032327,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/emms
"Discovery Learning Alliance, Inc.",US-EIN-522043740,International NGO,United States,1,https://iatiregistry.org/publisher/dla
HelpAge International UK,GB-CHC-1128267-8,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/ageintl
Christian Engineers in Development,GB-CHC-293734,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ced
"UK - Department for Environment, Food and Rural Affairs",GB-GOV-7,Government,United Kingdom,2,https://iatiregistry.org/publisher/defra_transparency
Avocats Sans Frontières,BE-BCE_KBO-0447404580,National NGO,Belgium,2,https://iatiregistry.org/publisher/asf
AidData,US-501c3-522318905,"Academic, Training and Research",United States,19,https://iatiregistry.org/publisher/aiddata
Japan International Cooperation Agency (JICA),XM-DAC-701-8,Government,Japan,42,https://iatiregistry.org/publisher/jica
CIFAL Scotland,GB-SC-037597,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/cifal
Water for People,US-EIN-84-1166148,International NGO,United States,10,https://iatiregistry.org/publisher/w4p
Aqua for All,NL-KVK-27248417,Foundation,Netherlands,1,https://iatiregistry.org/publisher/aqua4all
PHASE Worldwide,GB-CHC-1112734,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/phase_worldwide
Across,KE-NGC-9381,International NGO,Kenya,3,https://iatiregistry.org/publisher/across
Muslim Aid,GB-CHC-295224,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/muslimaid
Find Your Feet,GB-CHC-250456,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/fyf
Global Partnership for Education,XM-DAC-47501,Multilateral,United States,1,https://iatiregistry.org/publisher/gpe
One to One Children's Fund,GB-CHC-1086159,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/onetoonecf
Micro Insurance Academy,IN-ITA-1886,"Academic, Training and Research",India,2,https://iatiregistry.org/publisher/mia_india
FRANK Water,GB-CHC-1121273,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/frankwater
Coffey International Development,GB-COH-3799145,Private Sector,United Kingdom,27,https://iatiregistry.org/publisher/coffey
act4africa,GB-COH-04276635,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/act4africa
Stichting Red een Kind,NL-KVK-41022454,International NGO,Netherlands,1,https://iatiregistry.org/publisher/redeenkind
ShelterBox,GB-CHC-1096479,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/shelterbox
